"CO","CI","SV","SVI","SVV","PRV","PR","SYS","DIA","MAP","SI","time","SVR","SVRI","volume","drug_dose"
3.3,2.2,26,18,8,0,123,69,48,56,1.78260869565217,2280,1260.60606060606,1890.90909090909,20,0.121599027207782
3.3,2.3,27,18,8,0,125,70,49,57,1.78571428571429,2300,1284.84848484848,1843.47826086957,20,0.121599027207782
3.4,2.3,27,19,10,0,125,71,49,58,1.76056338028169,2320,1270.58823529412,1878.26086956522,20,0.121599027207782
3.4,2.3,27,18,10,0,125,71,50,58,1.76056338028169,2340,1270.58823529412,1878.26086956522,20,0.121599027207782
3.2,2.2,26,17,5,0,125,71,50,58,1.76056338028169,2360,1350,1963.63636363636,20,0.121599027207782
3.1,2.2,25,17,6,0,125,70,50,57,1.78571428571429,2380,1367.74193548387,1927.27272727273,20,0.121599027207782
3.1,2.2,25,17,7,0,125,72,51,58,1.73611111111111,2400,1393.54838709677,1963.63636363636,20,0.121599027207782
2.9,2,23,16,7,0,125,71,51,59,1.76056338028169,2420,1517.24137931034,2200,20,0.121599027207782
3,2,24,16,7,0,125,73,52,59,1.71232876712329,2440,1466.66666666667,2200,20,0.121599027207782
2.9,2,23,16,7,0,124,71,51,58,1.74647887323944,2460,1489.65517241379,2160,20,0.121599027207782
3.2,2.2,26,17,8,0,125,77,54,62,1.62337662337662,2480,1450,2109.09090909091,20,0.121599027207782
3.7,2.5,29,20,9,0,126,81,55,65,1.55555555555556,2500,1318.91891891892,1952,20,0.121599027207782
3.9,2.7,31,21,12,0,126,84,56,68,1.5,2520,1312.82051282051,1896.2962962963,20,0.121599027207782
3.9,2.7,31,21,10,0,125,77,52,62,1.62337662337662,2540,1189.74358974359,1718.51851851852,20,0.121599027207782
3.9,2.7,31,21,9,0,126,83,56,67,1.51807228915663,2560,1292.30769230769,1866.66666666667,20,0.121599027207782
4,2.7,31,21,8,0,127,75,50,60,1.69333333333333,2580,1120,1659.25925925926,20,0.121599027207782
4,2.7,31,21,8,0,127,75,50,60,1.69333333333333,2600,1120,1659.25925925926,20,0.121599027207782
3.4,2.3,27,18,8,0,125,69,48,58,1.81159420289855,2680,1270.58823529412,1878.26086956522,20,0.121599027207782
3.2,2.2,25,17,13,0,127,67,49,56,1.8955223880597,2700,1300,1890.90909090909,20,0.121599027207782
3.2,2.2,25,17,12,0,127,66,48,55,1.92424242424242,2720,1275,1854.54545454545,20,0.121599027207782
3.3,2.2,26,17,10,0,127,68,49,56,1.86764705882353,2740,1260.60606060606,1890.90909090909,20,0.121599027207782
2.8,1.9,23,15,10,0,124,65,48,54,1.90769230769231,2760,1428.57142857143,2105.26315789474,20,0.121599027207782
2.8,1.9,22,15,6,0,127,64,48,54,1.984375,2780,1428.57142857143,2105.26315789474,20,0.121599027207782
