"CO","CI","SV","SVI","SVV","PRV","PR","SYS","DIA","MAP","SI","time","SVR","SVRI","volume","drug_dose"
3.4,2.3,37,25,9,0,92,98,56,70,0.938775510204082,87200,1552.94117647059,2295.65217391304,88,0.0486396108831129
3.2,2.2,35,24,4,0,91,94,55,68,0.968085106382979,87220,1600,2327.27272727273,88,0.0486396108831129
3.2,2.2,35,24,9,0,93,98,58,72,0.948979591836735,87240,1700,2472.72727272727,88,0.0486396108831129
3.6,2.4,38,26,9,0,95,108,60,76,0.87962962962963,87260,1600,2400,88,0.0486396108831129
3.6,2.4,38,26,9,0,95,108,60,76,0.87962962962963,87280,1600,2400,88,0.0486396108831129
2.7,1.9,42,28,9,0,66,84,53,66,0.785714285714286,87320,1837.03703703704,2610.52631578947,88,0.0486396108831129
1.3,0.9,31,21,9,0,44,97,67,88,0.45360824742268,87340,5169.23076923077,7466.66666666667,88,0.0486396108831129
1.3,0.9,31,21,9,0,44,97,67,88,0.45360824742268,87360,5169.23076923077,7466.66666666667,88,0.0486396108831129
1.5,1,16,11,9,0,93,90,73,78,1.03333333333333,87420,3946.66666666667,5920,88,0.0486396108831129
1.2,0.8,13,9,13,0,91,82,70,73,1.10975609756098,87440,4600,6900,88,0.0486396108831129
1.3,0.9,14,10,13,0,89,79,66,70,1.12658227848101,87460,4061.53846153846,5866.66666666667,88,0.0486396108831129
1.4,0.9,15,10,18,0,89,88,71,76,1.01136363636364,87480,4114.28571428571,6400,88,0.0486396108831129
1.5,1,16,11,18,0,94,87,69,74,1.08045977011494,87500,3733.33333333333,5600,88,0.0486396108831129
1.4,1,15,10,30,0,91,79,65,69,1.15189873417722,87520,3714.28571428571,5200,88,0.0486396108831129
1.8,1.2,20,14,17,0,90,86,66,72,1.04651162790698,87540,3022.22222222222,4533.33333333333,88,0.0486396108831129
1.8,1.2,20,14,26,0,92,86,65,72,1.06976744186047,87560,3022.22222222222,4533.33333333333,88,0.0486396108831129
1.3,0.9,18,12,26,0,69,79,62,65,0.873417721518987,87580,3753.84615384615,5422.22222222222,88,0.0486396108831129
1.9,1.3,21,15,33,0,89,84,61,67,1.05952380952381,87600,2652.63157894737,3876.92307692308,88,0.0486396108831129
2,1.3,21,15,21,0,92,93,69,75,0.989247311827957,87620,2840,4369.23076923077,88,0.0486396108831129
1.9,1.3,20,14,24,0,93,94,71,78,0.98936170212766,87640,3115.78947368421,4553.84615384615,88,0.0486396108831129
1.2,0.8,15,10,24,0,79,88,71,76,0.897727272727273,87660,4800,7200,88,0.0486396108831129
1.2,0.8,14,10,24,0,85,80,68,72,1.0625,87740,4533.33333333333,6800,88,0.0486396108831129
1.1,0.7,11,8,26,0,95,92,79,82,1.03260869565217,87780,5672.72727272727,8914.28571428572,108,0.121599027207782
1.3,0.9,14,10,26,0,89,86,72,76,1.03488372093023,87800,4430.76923076923,6400,108,0.121599027207782
2,1.3,21,14,24,0,94,87,64,71,1.08045977011494,87880,2680,4123.07692307692,108,0.121599027207782
1.6,1.1,17,12,27,0,93,84,65,70,1.10714285714286,87900,3300,4800,108,0.121599027207782
1.7,1.1,18,13,28,0,91,85,67,71,1.07058823529412,87920,3152.94117647059,4872.72727272727,108,0.121599027207782
1.6,1.1,17,12,28,0,92,85,67,72,1.08235294117647,87940,3400,4945.45454545455,108,0.121599027207782
1.7,1.2,18,13,28,0,93,86,67,72,1.08139534883721,87960,3200,4533.33333333333,108,0.121599027207782
1.4,0.9,15,10,28,0,93,78,64,68,1.19230769230769,87980,3657.14285714286,5688.88888888889,108,0.121599027207782
1.7,1.2,18,12,28,0,93,89,70,75,1.04494382022472,88000,3341.17647058824,4733.33333333333,108,0.121599027207782
1.5,1,16,11,35,0,93,82,66,70,1.13414634146341,88020,3520,5280,108,0.121599027207782
1.3,0.9,14,10,22,0,91,83,69,72,1.09638554216867,88040,4184.61538461538,6044.44444444444,108,0.121599027207782
1.3,0.9,14,10,33,0,89,76,63,67,1.17105263157895,88060,3876.92307692308,5600,108,0.121599027207782
1.7,1.2,18,13,33,0,91,92,72,77,0.989130434782609,88080,3435.29411764706,4866.66666666667,108,0.121599027207782
1.8,1.2,20,14,16,0,90,90,68,74,1,88100,3111.11111111111,4666.66666666667,108,0.121599027207782
1.4,1,15,10,32,0,92,89,72,76,1.03370786516854,88120,4114.28571428571,5760,108,0.121599027207782
1.2,0.8,13,9,32,0,90,77,64,68,1.16883116883117,88140,4266.66666666667,6400,108,0.121599027207782
1.4,1,16,11,28,0,89,74,60,64,1.2027027027027,88160,3428.57142857143,4800,108,0.121599027207782
2,1.4,22,15,28,0,93,87,66,72,1.06896551724138,88180,2720,3885.71428571429,108,0.121599027207782
1.9,1.3,20,14,32,0,94,83,63,69,1.13253012048193,88200,2736.84210526316,4000,108,0.121599027207782
2.1,1.5,23,16,12,0,92,86,64,71,1.06976744186047,88220,2552.38095238095,3573.33333333333,108,0.121599027207782
1.8,1.2,19,13,24,0,92,79,61,66,1.16455696202532,88240,2755.55555555556,4133.33333333333,108,0.121599027207782
1.9,1.3,21,14,19,0,89,94,68,77,0.946808510638298,88260,3073.68421052632,4492.30769230769,108,0.121599027207782
1.9,1.3,20,14,18,0,94,89,69,74,1.0561797752809,88280,2947.36842105263,4307.69230769231,108,0.121599027207782
1.6,1.1,18,12,19,0,90,81,65,68,1.11111111111111,88300,3200,4654.54545454545,108,0.121599027207782
1.6,1.1,18,12,19,0,89,81,64,68,1.09876543209877,88320,3200,4654.54545454545,108,0.121599027207782
1.7,1.2,19,13,19,0,90,87,67,72,1.03448275862069,88340,3200,4533.33333333333,108,0.121599027207782
2.2,1.5,24,16,19,0,92,86,62,69,1.06976744186047,88360,2363.63636363636,3466.66666666667,108,0.121599027207782
2,1.3,21,15,23,0,91,85,63,69,1.07058823529412,88380,2600,4000,108,0.121599027207782
2.3,1.6,25,17,14,0,92,88,63,70,1.04545454545455,88400,2295.65217391304,3300,108,0.121599027207782
2.1,1.5,23,16,28,0,93,92,67,74,1.01086956521739,88420,2666.66666666667,3733.33333333333,108,0.121599027207782
2.5,1.7,27,18,14,0,92,95,64,73,0.968421052631579,88440,2208,3247.05882352941,108,0.121599027207782
2.4,1.6,26,18,16,0,92,90,63,70,1.02222222222222,88460,2200,3300,108,0.121599027207782
2.4,1.6,26,17,16,0,93,91,63,71,1.02197802197802,88480,2233.33333333333,3350,108,0.121599027207782
2.4,1.6,26,17,8,0,93,93,64,72,1,88500,2266.66666666667,3400,108,0.121599027207782
2.3,1.5,25,17,15,0,91,87,61,69,1.04597701149425,88520,2260.86956521739,3466.66666666667,108,0.121599027207782
2.5,1.7,27,18,16,0,94,91,63,72,1.03296703296703,88540,2176,3200,108,0.121599027207782
3.1,2.1,34,23,27,0,91,79,51,61,1.15189873417722,88560,1470.96774193548,2171.42857142857,108,0.121599027207782
2.9,2,32,22,7,0,92,83,54,65,1.10843373493976,88580,1682.75862068966,2440,108,0.121599027207782
2.9,2,31,21,16,0,93,88,57,69,1.05681818181818,88600,1793.10344827586,2600,108,0.121599027207782
3.3,2.3,35,24,26,0,94,95,55,68,0.989473684210526,88620,1551.51515151515,2226.08695652174,108,0.121599027207782
3.3,2.3,35,24,26,0,94,95,55,68,0.989473684210526,88640,1551.51515151515,2226.08695652174,108,0.121599027207782
3.5,2.4,38,26,3,0,92,107,60,76,0.85981308411215,88960,1645.71428571429,2400,108,0.121599027207782
3.3,2.3,36,24,8,0,93,101,59,73,0.920792079207921,88980,1672.72727272727,2400,108,0.121599027207782
3.4,2.3,36,24,3,0,95,103,61,75,0.922330097087379,89000,1670.58823529412,2469.5652173913,108,0.121599027207782
3.4,2.3,35,24,3,0,97,106,63,78,0.915094339622642,89020,1741.17647058824,2573.91304347826,108,0.121599027207782
3.3,2.2,34,23,3,0,96,95,59,71,1.01052631578947,89040,1624.24242424242,2436.36363636364,108,0.121599027207782
3.3,2.3,35,24,6,0,97,103,62,77,0.941747572815534,89060,1769.69696969697,2539.13043478261,108,0.121599027207782
3.4,2.3,35,24,6,0,97,99,59,73,0.97979797979798,89080,1623.52941176471,2400,108,0.121599027207782
3.4,2.3,34,23,4,0,99,101,60,75,0.98019801980198,89100,1670.58823529412,2469.5652173913,108,0.121599027207782
3.6,2.4,37,25,8,0,97,108,61,78,0.898148148148148,89120,1644.44444444444,2466.66666666667,108,0.121599027207782
3.6,2.4,36,25,6,0,98,104,60,75,0.942307692307692,89140,1577.77777777778,2366.66666666667,108,0.121599027207782
3.5,2.4,37,25,8,0,97,109,61,78,0.889908256880734,89160,1691.42857142857,2466.66666666667,108,0.121599027207782
3.6,2.4,37,25,6,0,97,104,59,75,0.932692307692308,89180,1577.77777777778,2366.66666666667,108,0.121599027207782
3.5,2.4,36,24,5,0,98,101,59,74,0.97029702970297,89200,1600,2333.33333333333,108,0.121599027207782
3.4,2.3,36,24,4,0,96,93,55,69,1.03225806451613,89220,1529.41176470588,2260.86956521739,108,0.121599027207782
3.3,2.2,34,23,6,0,94,89,54,67,1.0561797752809,89240,1527.27272727273,2290.90909090909,108,0.121599027207782
3.3,2.3,35,24,5,0,96,89,54,67,1.07865168539326,89260,1527.27272727273,2191.30434782609,108,0.121599027207782
3.5,2.4,35,24,4,0,99,91,55,68,1.08791208791209,89280,1462.85714285714,2133.33333333333,108,0.121599027207782
3.4,2.3,35,24,4,0,96,87,52,65,1.10344827586207,89300,1435.29411764706,2121.73913043478,108,0.121599027207782
3.3,2.3,35,24,3,0,95,86,53,65,1.1046511627907,89320,1478.78787878788,2121.73913043478,108,0.121599027207782
3.4,2.3,35,24,6,0,96,88,53,66,1.09090909090909,89340,1458.82352941176,2156.52173913043,108,0.121599027207782
3.5,2.4,37,25,4,0,96,95,55,70,1.01052631578947,89360,1508.57142857143,2200,108,0.121599027207782
3.3,2.3,35,24,5,0,94,86,52,65,1.09302325581395,89380,1478.78787878788,2121.73913043478,108,0.121599027207782
3.5,2.4,36,25,6,0,96,96,56,70,1,89400,1508.57142857143,2200,108,0.121599027207782
3.5,2.4,37,25,3,0,96,93,54,68,1.03225806451613,89420,1462.85714285714,2133.33333333333,108,0.121599027207782
3.4,2.3,35,24,3,0,97,87,53,65,1.11494252873563,89440,1435.29411764706,2121.73913043478,108,0.121599027207782
3.7,2.5,38,26,4,0,96,84,52,64,1.14285714285714,89460,1297.2972972973,1920,108,0.121599027207782
3.3,2.2,35,24,6,0,94,83,51,62,1.13253012048193,89480,1406.06060606061,2109.09090909091,108,0.121599027207782
3.3,2.3,35,24,5,0,95,87,52,65,1.09195402298851,89500,1478.78787878788,2121.73913043478,108,0.121599027207782
3.4,2.3,36,25,5,0,94,89,53,66,1.0561797752809,89520,1458.82352941176,2156.52173913043,108,0.121599027207782
3.3,2.3,36,25,4,0,92,88,52,65,1.04545454545455,89540,1478.78787878788,2121.73913043478,108,0.121599027207782
3.3,2.3,36,24,3,0,92,89,52,65,1.03370786516854,89560,1478.78787878788,2121.73913043478,108,0.121599027207782
3.4,2.3,36,25,5,0,94,92,54,68,1.02173913043478,89580,1505.88235294118,2226.08695652174,108,0.121599027207782
3.6,2.4,37,26,5,0,95,93,53,67,1.02150537634409,89600,1400,2100,108,0.121599027207782
3.3,2.3,36,25,7,0,92,86,51,63,1.06976744186047,89620,1430.30303030303,2052.17391304348,108,0.121599027207782
3.3,2.3,36,25,5,0,92,92,54,67,1,89640,1527.27272727273,2191.30434782609,108,0.121599027207782
3.5,2.4,38,26,5,0,93,94,54,68,0.98936170212766,89660,1462.85714285714,2133.33333333333,108,0.121599027207782
3.5,2.4,38,26,7,0,93,99,56,71,0.939393939393939,89680,1531.42857142857,2233.33333333333,108,0.121599027207782
3.6,2.4,39,27,4,0,92,99,55,70,0.929292929292929,89700,1466.66666666667,2200,108,0.121599027207782
3.5,2.4,39,27,7,0,91,95,54,68,0.957894736842105,89720,1462.85714285714,2133.33333333333,108,0.121599027207782
3.6,2.4,39,27,5,0,92,96,54,69,0.958333333333333,89740,1444.44444444444,2166.66666666667,108,0.121599027207782
3.6,2.5,39,27,8,0,93,96,54,69,0.96875,89760,1444.44444444444,2080,108,0.121599027207782
3.6,2.5,39,26,7,0,93,95,54,68,0.978947368421053,89780,1422.22222222222,2048,108,0.121599027207782
3.5,2.4,38,26,8,0,93,91,53,66,1.02197802197802,89800,1417.14285714286,2066.66666666667,108,0.121599027207782
3.2,2.2,36,24,5,0,91,88,53,65,1.03409090909091,89820,1525,2218.18181818182,108,0.121599027207782
3.5,2.4,38,26,5,0,92,98,55,70,0.938775510204082,89840,1508.57142857143,2200,108,0.121599027207782
3.5,2.4,39,27,9,0,91,96,54,68,0.947916666666667,89860,1462.85714285714,2133.33333333333,108,0.121599027207782
3.6,2.4,38,26,3,0,94,98,56,70,0.959183673469388,89880,1466.66666666667,2200,108,0.121599027207782
3.4,2.3,36,25,8,0,93,95,56,69,0.978947368421053,89900,1529.41176470588,2260.86956521739,108,0.121599027207782
3.2,2.2,35,24,6,0,92,86,52,63,1.06976744186047,89920,1475,2145.45454545455,108,0.121599027207782
3.2,2.2,35,24,6,0,90,86,52,63,1.04651162790698,89940,1475,2145.45454545455,108,0.121599027207782
3.3,2.3,36,25,6,0,91,96,56,70,0.947916666666667,89960,1600,2295.65217391304,108,0.121599027207782
3.5,2.4,38,26,11,0,94,92,53,67,1.02173913043478,89980,1440,2100,108,0.121599027207782
3.2,2.2,34,23,11,0,96,92,56,70,1.04347826086957,90000,1650,2400,108,0.121599027207782
3,2.1,32,22,16,0,95,82,52,62,1.15853658536585,90020,1546.66666666667,2209.52380952381,108,0.121599027207782
2.8,1.9,30,20,16,0,93,84,55,65,1.10714285714286,90040,1742.85714285714,2568.42105263158,108,0.121599027207782
3.4,2.3,36,24,19,0,94,83,50,62,1.13253012048193,90060,1364.70588235294,2017.39130434783,108,0.121599027207782
3,2,31,21,20,0,97,90,58,69,1.07777777777778,90080,1733.33333333333,2600,108,0.121599027207782
3.4,2.3,36,25,11,0,95,83,51,62,1.14457831325301,90100,1364.70588235294,2017.39130434783,108,0.121599027207782
3.3,2.2,34,23,21,0,95,87,53,65,1.09195402298851,90120,1478.78787878788,2218.18181818182,108,0.121599027207782
3.3,2.3,34,23,16,0,96,86,53,64,1.11627906976744,90140,1454.54545454545,2086.95652173913,108,0.121599027207782
3.4,2.4,36,24,8,0,96,83,50,62,1.1566265060241,90160,1364.70588235294,1933.33333333333,108,0.121599027207782
3.7,2.5,38,26,19,0,97,93,52,67,1.04301075268817,90180,1362.16216216216,2016,108,0.121599027207782
3.7,2.5,38,26,14,0,96,92,53,67,1.04347826086957,90200,1362.16216216216,2016,108,0.121599027207782
3.7,2.5,39,26,13,0,95,92,52,66,1.03260869565217,90220,1340.54054054054,1984,108,0.121599027207782
3.5,2.4,37,25,13,0,95,91,52,66,1.04395604395604,90240,1417.14285714286,2066.66666666667,108,0.121599027207782
3.6,2.5,37,25,13,0,97,89,52,65,1.08988764044944,90260,1355.55555555556,1952,108,0.121599027207782
3.7,2.5,39,26,14,0,96,90,51,65,1.06666666666667,90280,1318.91891891892,1952,108,0.121599027207782
3.6,2.5,38,26,12,0,96,92,53,67,1.04347826086957,90300,1400,2016,108,0.121599027207782
3.7,2.5,39,27,12,0,96,90,52,65,1.06666666666667,90320,1318.91891891892,1952,108,0.121599027207782
3.7,2.5,39,27,11,0,95,86,50,63,1.1046511627907,90340,1275.67567567568,1888,108,0.121599027207782
3.7,2.5,39,27,12,0,94,95,54,68,0.989473684210526,90360,1383.78378378378,2048,108,0.121599027207782
3.7,2.6,39,27,12,0,95,94,53,68,1.01063829787234,90380,1383.78378378378,1969.23076923077,108,0.121599027207782
3.6,2.5,38,26,10,0,95,89,52,65,1.06741573033708,90400,1355.55555555556,1952,108,0.121599027207782
3.7,2.6,39,27,14,0,96,98,55,70,0.979591836734694,90420,1427.02702702703,2030.76923076923,108,0.121599027207782
3.8,2.6,40,27,12,0,96,92,52,67,1.04347826086957,90440,1326.31578947368,1938.46153846154,108,0.121599027207782
3,2.1,34,23,12,0,90,81,50,61,1.11111111111111,90460,1520,2171.42857142857,108,0.121599027207782
3.2,2.2,35,24,14,0,93,81,50,61,1.14814814814815,90480,1425,2072.72727272727,108,0.121599027207782
3.5,2.4,35,24,15,0,98,86,52,64,1.13953488372093,90500,1371.42857142857,2000,108,0.121599027207782
3.5,2.4,37,26,15,0,95,92,53,66,1.03260869565217,90520,1417.14285714286,2066.66666666667,108,0.121599027207782
3.5,2.4,36,25,13,0,96,86,51,63,1.11627906976744,90540,1348.57142857143,1966.66666666667,108,0.121599027207782
3.4,2.3,36,25,10,0,93,85,51,62,1.09411764705882,90560,1364.70588235294,2017.39130434783,108,0.121599027207782
3.3,2.3,36,24,8,0,92,82,50,61,1.1219512195122,90580,1381.81818181818,1982.60869565217,108,0.121599027207782
3.4,2.3,37,25,8,0,92,87,52,64,1.05747126436782,90600,1411.76470588235,2086.95652173913,108,0.121599027207782
3.5,2.4,38,26,5,0,93,97,54,69,0.958762886597938,90620,1485.71428571429,2166.66666666667,108,0.121599027207782
3.6,2.5,39,26,6,0,94,94,53,68,1,90640,1422.22222222222,2048,108,0.121599027207782
3.3,2.2,35,24,4,0,92,84,51,63,1.0952380952381,90660,1430.30303030303,2145.45454545455,108,0.121599027207782
3.2,2.2,35,24,5,0,92,85,52,64,1.08235294117647,90680,1500,2181.81818181818,108,0.121599027207782
3.5,2.4,37,26,5,0,93,89,52,65,1.04494382022472,90700,1394.28571428571,2033.33333333333,108,0.121599027207782
3.5,2.4,38,26,4,0,92,87,50,62,1.05747126436782,90720,1325.71428571429,1933.33333333333,108,0.121599027207782
3.5,2.4,38,26,4,0,92,87,50,62,1.05747126436782,90740,1325.71428571429,1933.33333333333,108,0.121599027207782
3.9,2.7,42,28,4,0,93,94,51,66,0.98936170212766,90820,1271.79487179487,1837.03703703704,108,0.121599027207782
3.5,2.4,38,26,5,0,92,87,50,63,1.05747126436782,90840,1348.57142857143,1966.66666666667,108,0.121599027207782
3.5,2.4,38,26,4,0,92,93,53,67,0.989247311827957,90860,1440,2100,108,0.121599027207782
3.6,2.5,39,27,8,0,93,93,53,67,1,90880,1400,2016,108,0.121599027207782
3.3,2.2,36,24,7,0,91,84,50,62,1.08333333333333,90900,1406.06060606061,2109.09090909091,108,0.121599027207782
3.4,2.4,38,26,7,0,90,94,53,67,0.957446808510638,90920,1482.35294117647,2100,108,0.121599027207782
3.5,2.4,39,27,7,0,90,95,53,67,0.947368421052632,90940,1440,2100,108,0.121599027207782
3.6,2.4,39,27,9,0,92,97,54,69,0.948453608247423,90960,1444.44444444444,2166.66666666667,108,0.121599027207782
3.6,2.5,39,26,9,0,93,93,53,67,1,90980,1400,2016,108,0.121599027207782
3.4,2.3,37,25,7,0,91,86,51,63,1.05813953488372,91000,1388.23529411765,2052.17391304348,108,0.121599027207782
3.3,2.2,36,25,8,0,91,87,52,64,1.04597701149425,91020,1454.54545454545,2181.81818181818,108,0.121599027207782
3.5,2.4,39,26,12,0,92,99,54,70,0.929292929292929,91040,1508.57142857143,2200,108,0.121599027207782
3.2,2.2,36,24,12,0,88,82,50,63,1.07317073170732,91060,1475,2145.45454545455,108,0.121599027207782
3,2,33,23,12,0,89,78,50,60,1.14102564102564,91080,1493.33333333333,2240,108,0.121599027207782
2.9,2,31,21,11,0,93,78,51,61,1.19230769230769,91100,1572.41379310345,2280,108,0.121599027207782
3.3,2.3,35,24,9,0,96,88,55,66,1.09090909090909,91120,1503.0303030303,2156.52173913043,108,0.121599027207782
3.4,2.3,35,24,9,0,95,88,54,65,1.07954545454545,91140,1435.29411764706,2121.73913043478,108,0.121599027207782
3.5,2.4,37,25,11,0,95,88,52,64,1.07954545454545,91160,1371.42857142857,2000,108,0.121599027207782
3.1,2.1,34,23,11,0,93,81,51,61,1.14814814814815,91180,1470.96774193548,2171.42857142857,108,0.121599027207782
2.6,1.8,28,19,11,0,93,77,51,59,1.20779220779221,91200,1692.30769230769,2444.44444444444,108,0.121599027207782
3.6,2.5,38,26,11,0,95,92,55,68,1.03260869565217,91220,1422.22222222222,2048,108,0.121599027207782
3.6,2.5,38,26,11,0,95,89,52,65,1.06741573033708,91240,1355.55555555556,1952,108,0.121599027207782
3.6,2.5,38,26,11,0,95,89,52,65,1.06741573033708,91260,1355.55555555556,1952,108,0.121599027207782
4,2.7,45,30,5,0,89,77,42,55,1.15584415584416,92240,1020,1511.11111111111,108,0.121599027207782
4,2.7,45,30,5,0,89,77,42,55,1.15584415584416,92260,1020,1511.11111111111,108,0.121599027207782
3.8,2.6,41,28,6,0,92,79,45,58,1.16455696202532,92280,1136.84210526316,1661.53846153846,108,0.121599027207782
4.1,2.8,44,30,5,0,93,80,43,57,1.1625,92300,1034.14634146341,1514.28571428571,108,0.121599027207782
3.9,2.7,43,29,6,0,92,78,43,56,1.17948717948718,92320,1066.66666666667,1540.74074074074,108,0.121599027207782
3.8,2.6,42,29,4,0,91,70,40,52,1.3,92340,1010.52631578947,1476.92307692308,108,0.121599027207782
3.8,2.6,42,29,4,0,90,69,40,51,1.30434782608696,92360,989.473684210526,1446.15384615385,108,0.121599027207782
3.7,2.5,41,28,6,0,89,74,43,55,1.2027027027027,92380,1102.7027027027,1632,108,0.121599027207782
3.8,2.6,43,29,6,0,90,72,40,52,1.25,92400,1010.52631578947,1476.92307692308,108,0.121599027207782
3.6,2.5,41,28,4,0,89,68,40,51,1.30882352941176,92420,1044.44444444444,1504,108,0.121599027207782
3.8,2.6,42,29,10,0,90,76,43,56,1.18421052631579,92440,1094.73684210526,1600,108,0.121599027207782
3.7,2.6,43,29,7,0,88,77,43,56,1.14285714285714,92460,1124.32432432432,1600,108,0.121599027207782
3.7,2.5,42,28,6,0,88,78,44,58,1.12820512820513,92480,1167.56756756757,1728,108,0.121599027207782
3.7,2.5,41,28,9,0,89,80,45,59,1.1125,92500,1189.18918918919,1760,108,0.121599027207782
3.8,2.6,42,29,11,0,91,80,45,58,1.1375,92520,1136.84210526316,1661.53846153846,108,0.121599027207782
4,2.7,45,31,9,0,89,81,43,58,1.09876543209877,92540,1080,1600,108,0.121599027207782
3.4,2.3,38,26,11,0,90,81,48,61,1.11111111111111,92560,1341.17647058824,1982.60869565217,108,0.121599027207782
3.5,2.4,39,27,6,0,89,76,45,57,1.17105263157895,92580,1211.42857142857,1766.66666666667,108,0.121599027207782
3.4,2.3,38,26,7,0,91,77,46,58,1.18181818181818,92600,1270.58823529412,1878.26086956522,108,0.121599027207782
3.4,2.3,38,26,5,0,90,78,46,58,1.15384615384615,92620,1270.58823529412,1878.26086956522,108,0.121599027207782
3.4,2.3,37,25,5,0,91,79,48,59,1.15189873417722,92640,1294.11764705882,1913.04347826087,108,0.121599027207782
3.3,2.3,37,25,9,0,91,78,48,60,1.16666666666667,92660,1357.57575757576,1947.82608695652,108,0.121599027207782
3.1,2.1,36,25,7,0,87,73,45,56,1.19178082191781,92680,1341.93548387097,1980.95238095238,108,0.121599027207782
3.1,2.1,35,24,6,0,88,80,50,61,1.1,92700,1470.96774193548,2171.42857142857,108,0.121599027207782
3.1,2.1,34,23,9,0,92,81,52,63,1.1358024691358,92720,1522.58064516129,2247.61904761905,108,0.121599027207782
3,2.1,35,24,5,0,88,71,45,55,1.23943661971831,92740,1360,1942.85714285714,108,0.121599027207782
2.9,2,32,22,11,0,91,82,53,65,1.10975609756098,92760,1682.75862068966,2440,108,0.121599027207782
3.1,2.1,34,23,5,0,91,77,49,60,1.18181818181818,92780,1445.16129032258,2133.33333333333,108,0.121599027207782
3,2,34,23,3,0,89,74,48,58,1.2027027027027,92800,1440,2160,108,0.121599027207782
3.3,2.2,36,25,5,0,91,83,51,63,1.09638554216867,92820,1430.30303030303,2145.45454545455,108,0.121599027207782
3,2.1,34,23,4,0,90,70,46,55,1.28571428571429,92840,1360,1942.85714285714,108,0.121599027207782
2.9,2,33,23,8,0,89,75,49,59,1.18666666666667,92860,1517.24137931034,2200,108,0.121599027207782
3.3,2.2,36,25,7,0,91,90,54,68,1.01111111111111,92880,1551.51515151515,2327.27272727273,108,0.121599027207782
3.2,2.2,35,24,5,0,90,79,49,61,1.13924050632911,92900,1425,2072.72727272727,108,0.121599027207782
3.2,2.2,35,24,3,0,90,88,54,67,1.02272727272727,92920,1575,2290.90909090909,108,0.121599027207782
3,2.1,34,23,7,0,89,75,48,58,1.18666666666667,92940,1440,2057.14285714286,108,0.121599027207782
2.9,2,33,23,4,0,89,77,50,60,1.15584415584416,92960,1544.8275862069,2240,108,0.121599027207782
3.2,2.2,36,24,5,0,90,81,50,62,1.11111111111111,92980,1450,2109.09090909091,108,0.121599027207782
3.1,2.1,35,24,7,0,89,76,48,59,1.17105263157895,93000,1419.35483870968,2095.23809523809,108,0.121599027207782
3.5,2.4,37,25,13,0,94,88,52,65,1.06818181818182,93020,1394.28571428571,2033.33333333333,108,0.121599027207782
3.2,2.2,36,24,6,0,90,73,45,56,1.23287671232877,93040,1300,1890.90909090909,108,0.121599027207782
3.1,2.1,36,24,4,0,87,77,47,59,1.12987012987013,93060,1419.35483870968,2095.23809523809,108,0.121599027207782
3.2,2.2,36,24,9,0,91,89,53,67,1.02247191011236,93080,1575,2290.90909090909,108,0.121599027207782
3.4,2.3,37,25,5,0,92,85,50,63,1.08235294117647,93100,1388.23529411765,2052.17391304348,108,0.121599027207782
3.3,2.3,37,25,5,0,90,82,49,62,1.09756097560976,93120,1406.06060606061,2017.39130434783,108,0.121599027207782
3.2,2.2,36,25,6,0,89,75,46,57,1.18666666666667,93140,1325,1927.27272727273,108,0.121599027207782
3.4,2.3,37,25,6,0,92,81,49,61,1.1358024691358,93160,1341.17647058824,1982.60869565217,108,0.121599027207782
3.7,2.6,40,28,7,0,93,87,48,62,1.06896551724138,93180,1254.05405405405,1784.61538461538,108,0.121599027207782
3.3,2.2,36,25,4,0,90,76,46,57,1.18421052631579,93200,1284.84848484848,1927.27272727273,108,0.121599027207782
3.2,2.2,35,24,7,0,90,77,48,59,1.16883116883117,93220,1375,2000,108,0.121599027207782
3.3,2.2,36,25,5,0,91,75,46,58,1.21333333333333,93240,1309.09090909091,1963.63636363636,108,0.121599027207782
3.2,2.2,36,24,8,0,91,77,48,59,1.18181818181818,93260,1375,2000,108,0.121599027207782
3.3,2.3,38,26,5,0,89,76,46,57,1.17105263157895,93280,1284.84848484848,1843.47826086957,108,0.121599027207782
3.5,2.4,39,27,5,0,89,81,47,60,1.09876543209877,93300,1280,1866.66666666667,108,0.121599027207782
3.3,2.3,38,26,5,0,89,72,43,54,1.23611111111111,93320,1212.12121212121,1739.13043478261,108,0.121599027207782
3.3,2.3,37,25,10,0,89,72,44,54,1.23611111111111,93340,1212.12121212121,1739.13043478261,108,0.121599027207782
3.4,2.3,38,26,10,0,89,70,42,52,1.27142857142857,93360,1129.41176470588,1669.5652173913,108,0.121599027207782
3,2.1,34,23,8,0,88,62,39,48,1.41935483870968,93380,1173.33333333333,1676.19047619048,108,0.121599027207782
2.9,2,33,22,8,0,89,62,40,49,1.43548387096774,93400,1241.37931034483,1800,108,0.121599027207782
3.4,2.3,37,26,10,0,90,71,43,53,1.26760563380282,93420,1152.94117647059,1704.34782608696,108,0.121599027207782
3.1,2.1,35,24,11,0,89,62,39,48,1.43548387096774,93440,1135.48387096774,1676.19047619048,108,0.121599027207782
3.3,2.2,38,26,6,0,87,67,41,50,1.29850746268657,93460,1115.15151515152,1672.72727272727,108,0.121599027207782
3.6,2.5,39,27,13,0,92,74,43,54,1.24324324324324,93480,1111.11111111111,1600,108,0.121599027207782
3.2,2.2,36,24,5,0,90,65,40,49,1.38461538461538,93500,1125,1636.36363636364,108,0.121599027207782
3.2,2.2,36,25,8,0,89,67,41,50,1.32835820895522,93520,1150,1672.72727272727,108,0.121599027207782
